person_id,bucket,hit_basis,country_primary,gender,era,clock_education,clock_age18,clock_venture,age_at_first_hit,clock_education_min,clock_education_max,bounded,conf_min,excluded,exclusion_reason
p01,consumer_retail_industrial,primary,US,F,post1995,8.0,12.0,1.0,30.0,8,8,false,medium,false,
p02,science_research,equivalent,US,F,post1995,39.0,48.0,15.0,66.0,39,39,false,high,false,
p03,consumer_retail_industrial,,JP,M,,,,,,,,false,none,true,crossing_undatable
p04,hardware_deeptech,primary,US,M,pre1995,5.5,12.5,2.5,30.5,5,6,true,medium,false,
p05,media_creators,equivalent,KR,M,post1995,8.0,16.0,9.0,34.0,8,8,false,medium,false,
p06,investors_finance,equivalent,US,F,post1995,10.0,19.0,,37.0,10,10,false,medium,false,
p07,software_internet,fallback,US,M,post1995,6.0,11.0,2.0,29.0,6,6,false,high,false,
p08,software_internet,primary,CN,M,post1995,10.0,18.0,4.0,36.0,10,10,false,high,false,
p09,software_internet,primary,SE,M,post1995,7.0,8.0,3.0,26.0,7,7,false,medium,false,
p10,trade_import_logistics,,CN,F,,,,,,,,false,none,true,crossing_undatable
